ds,Open,High,Low,Close,Volume
2019-08-29 09:50:00,137.955,138.2801,137.955,138.21,415328.0
2019-08-29 09:55:00,138.22,138.36,138.16,138.2,281426.0
2019-08-29 10:00:00,138.21,138.23,137.92,137.99,332199.0
2019-08-29 10:05:00,137.98,138.12,137.81,137.9,453984.0
2019-08-29 10:10:00,137.91,138.17,137.905,138.07,281151.0
2019-08-29 10:15:00,138.0755,138.2023,137.882,137.9455,250111.0
2019-08-29 10:20:00,137.94,137.98,137.82,137.9,193191.0
2019-08-29 10:25:00,137.8919,138.09,137.87,137.93,284113.0
2019-08-29 10:30:00,137.92,138.05,137.91,137.96,219677.0
2019-08-29 10:35:00,137.96,137.99,137.78,137.89,201543.0
2019-08-29 10:40:00,137.8845,138.0542,137.0432,137.2344,821819.0
2019-08-29 10:45:00,137.23,137.59,137.1701,137.38,236299.0
2019-08-29 10:50:00,137.35,137.42,137.11,137.2079,190560.0
2019-08-29 10:55:00,137.205,137.4,137.2,137.39,200362.0
2019-08-29 11:00:00,137.38,137.65,137.33,137.62,141128.0
2019-08-29 11:05:00,137.6006,137.65,137.54,137.615,95376.0
2019-08-29 11:10:00,137.62,137.72,137.593,137.68,177080.0
2019-08-29 11:15:00,137.68,137.899,137.67,137.899,141445.0
2019-08-29 11:20:00,137.9,137.91,137.81,137.87,89914.0
2019-08-29 11:25:00,137.88,137.98,137.8,137.945,145888.0
2019-08-29 11:30:00,137.95,138.02,137.86,137.94,170565.0
2019-08-29 11:35:00,137.95,138.11,137.93,138.11,879876.0
2019-08-29 11:40:00,138.12,138.198,138.1,138.12,174762.0
2019-08-29 11:45:00,138.13,138.18,138.1,138.135,119453.0
2019-08-29 11:50:00,138.14,138.2,138.09,138.17,117382.0
2019-08-29 11:55:00,138.17,138.1798,138.09,138.11,114062.0
2019-08-29 12:00:00,138.12,138.13,137.95,138.02,165884.0
2019-08-29 12:05:00,137.975,138.04,137.86,137.99,175393.0
2019-08-29 12:10:00,137.99,138.05,137.95,137.98,135195.0
2019-08-29 12:15:00,137.98,138.13,137.96,138.11,187946.0
2019-08-29 12:20:00,138.1099,138.1525,138.1,138.14,104900.0
2019-08-29 12:25:00,138.135,138.2,138.12,138.17,227611.0
2019-08-29 12:30:00,138.17,138.175,138.08,138.1,145309.0
2019-08-29 12:35:00,138.1,138.275,138.06,138.27,246323.0
2019-08-29 12:40:00,138.27,138.36,138.26,138.35,199779.0
2019-08-29 12:45:00,138.3448,138.42,138.25,138.2635,181161.0
2019-08-29 12:50:00,138.26,138.32,138.18,138.2428,162196.0
2019-08-29 12:55:00,138.255,138.3784,138.1382,138.155,157563.0
2019-08-29 13:00:00,138.16,138.23,138.14,138.14,88622.0
2019-08-29 13:05:00,138.14,138.1838,138.06,138.17,98899.0
2019-08-29 13:10:00,138.175,138.19,138.09,138.1042,103694.0
2019-08-29 13:15:00,138.104,138.16,138.09,138.12,88919.0
2019-08-29 13:20:00,138.12,138.26,138.1,138.237,100673.0
2019-08-29 13:25:00,138.236,138.29,138.18,138.26,87164.0
2019-08-29 13:30:00,138.26,138.28,138.13,138.13,108937.0
2019-08-29 13:35:00,138.15,138.18,138.09,138.11,74209.0
2019-08-29 13:40:00,138.11,138.38,138.1,138.37,120366.0
2019-08-29 13:45:00,138.36,138.41,138.28,138.325,137637.0
2019-08-29 13:50:00,138.33,138.35,138.23,138.24,86897.0
2019-08-29 13:55:00,138.245,138.33,138.17,138.31,143331.0
2019-08-29 14:00:00,138.31,138.37,138.2,138.24,96973.0
2019-08-29 14:05:00,138.24,138.37,138.235,138.37,123732.0
2019-08-29 14:10:00,138.37,138.44,138.3,138.3699,132580.0
2019-08-29 14:15:00,138.37,138.377,138.31,138.32,74155.0
2019-08-29 14:20:00,138.32,138.38,138.07,138.14,198721.0
2019-08-29 14:25:00,138.1273,138.24,138.1,138.22,89828.0
2019-08-29 14:30:00,138.225,138.3176,138.21,138.265,85976.0
2019-08-29 14:35:00,138.26,138.3134,138.22,138.29,118802.0
2019-08-29 14:40:00,138.3,138.31,138.185,138.25,152213.0
2019-08-29 14:45:00,138.245,138.295,138.12,138.15,159460.0
2019-08-29 14:50:00,138.16,138.169,138.05,138.15,153130.0
2019-08-29 14:55:00,138.155,138.18,138.04,138.05,111314.0
2019-08-29 15:00:00,138.05,138.13,138.05,138.09,90396.0
2019-08-29 15:05:00,138.1,138.11,137.915,137.94,208100.0
2019-08-29 15:10:00,137.95,138.0298,137.85,137.875,190179.0
2019-08-29 15:15:00,137.88,137.93,137.86,137.9,100985.0
2019-08-29 15:20:00,137.89,138.06,137.885,138.0,138899.0
2019-08-29 15:25:00,137.99,137.99,137.84,137.91,199214.0
2019-08-29 15:30:00,137.9008,137.94,137.69,137.73,209319.0
2019-08-29 15:35:00,137.73,137.89,137.73,137.89,195242.0
2019-08-29 15:40:00,137.89,138.03,137.865,138.015,255627.0
2019-08-29 15:45:00,138.02,138.05,137.98,138.0056,142027.0
2019-08-29 15:50:00,138.0,138.16,137.96,138.11,256532.0
2019-08-29 15:55:00,138.1077,138.3,137.98,138.05,419915.0
2019-08-29 16:00:00,138.06,138.25,137.91,138.16,855315.0
2019-08-30 09:35:00,138.9,138.9,138.56,138.61,927293.0
2019-08-30 09:40:00,138.6242,138.8889,138.4446,138.7395,331922.0
2019-08-30 09:45:00,138.74,138.86,138.48,138.4922,226069.0
2019-08-30 09:50:00,138.5158,138.7934,138.5131,138.6481,179234.0
